algorithm,type
bayesnet,classifier
decisionstump,classifier
decisiontable,classifier
ibk,classifier
j48,classifier
jrip,classifier
kstar,classifier
lmt,classifier
logistic,classifier
m5p,classifier
multilayerperceptron,classifier
naivebayes,classifier
naivebayesmultinomial,classifier
oner,classifier
part,classifier
randomforest,classifier
randomtree,classifier
reptree,classifier
sl,classifier
smo,classifier
votedperceptron,classifier
zeror,classifier
bf/cfssubseteval,preprocessor
gsw/cfssubseteval,preprocessor
correlationAS,preprocessor
GainRatioAS,preprocessor
InfoGainAS,preprocessor
OneRAS,preprocessor
PCAAS,preprocessor
ReliefFAS,preprocessor
SymmetricalUncertAS,preprocessor
